simulation_id,event_id,stage,stage_order,stage_time_steps,electricity_shortage_probability_pct,curtailment_probability_pct,maximum_electricity_shortage_mw,maximum_curtailment_power_mw,energy_not_served_mwh,curtailed_energy_mwh
lankao_mc_071,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.2984282886125387,0.0,2.4915314141021105,0.0
lankao_mc_071,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5242623515372238,0.0,14.843645136792718,0.0
lankao_mc_071,lankao_typical_event_001,灾后恢复,4,12,41.66666666666667,0.0,0.6050256697233142,0.0,1.2031317986571093,0.0
lankao_mc_072,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_072,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.0903531334527579,0.0,1.6243982701197544,0.0
lankao_mc_072,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.588959249144745,0.0,14.18909611026389,0.0
lankao_mc_072,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.5907926839899494,0.0,0.928159260804212,0.0
lankao_mc_073,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_073,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.1726685450615741,0.0,1.616233885470563,0.0
lankao_mc_073,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.4798475041809878,0.0,13.449639245870564,0.0
lankao_mc_073,lankao_typical_event_001,灾后恢复,4,12,33.33333333333333,8.333333333333332,0.5213094440326045,0.2214639242907855,0.8538686817887686,0.2214639242907855
lankao_mc_074,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_074,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.584124474442745,0.0,0.6124815869153005,0.0
lankao_mc_074,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.41315024405683,0.0,11.74126293809325,0.0
lankao_mc_074,lankao_typical_event_001,灾后恢复,4,12,25.0,8.333333333333332,0.4239946440692301,0.3024338692359168,0.8336613172055145,0.3024338692359168
lankao_mc_075,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_075,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.1267770115157956,0.0,1.6419325141123458,0.0
lankao_mc_075,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5807275894859962,0.0,13.87649847366529,0.0
lankao_mc_075,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.4509230057009606,0.0,0.6227817154552427,0.0
lankao_mc_076,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_076,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.7493176225446443,0.0,0.8958505194828785,0.0
lankao_mc_076,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.3665565949352703,0.0,12.105097870860552,0.0
lankao_mc_076,lankao_typical_event_001,灾后恢复,4,12,41.66666666666667,0.0,0.45355665657664734,0.0,0.782131611948964,0.0
lankao_mc_077,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_077,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.117934607035143,0.0,1.6773773583215106,0.0
lankao_mc_077,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5813971940270646,0.0,14.157008174564965,0.0
lankao_mc_077,lankao_typical_event_001,灾后恢复,4,12,41.66666666666667,0.0,0.534858367464939,0.0,1.0494745551430895,0.0
lankao_mc_078,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_078,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.6488347087878154,0.0,0.9087375959294179,0.0
lankao_mc_078,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5125547705742588,0.0,11.51154843428758,0.0
lankao_mc_078,lankao_typical_event_001,灾后恢复,4,12,25.0,8.333333333333332,0.32656726316094675,0.001420301608967293,0.7200895865085328,0.001420301608967293
lankao_mc_079,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_079,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.991087708511453,0.0,1.3165289881558087,0.0
lankao_mc_079,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5676953985799107,0.0,13.801302135545106,0.0
lankao_mc_079,lankao_typical_event_001,灾后恢复,4,12,41.66666666666667,8.333333333333332,0.6167462794589186,0.07646511304842954,1.1883536590066546,0.07646511304842954
lankao_mc_080,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_080,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.9485730721700584,0.0,1.2465306145823736,0.0
lankao_mc_080,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.3712181365870968,0.0,11.561369095883595,0.0
lankao_mc_080,lankao_typical_event_001,灾后恢复,4,12,25.0,8.333333333333332,0.3526182245966435,0.423593066653003,0.5790258326753451,0.423593066653003
lankao_mc_081,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_081,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.7813808796254936,0.0,0.9869718484268688,0.0
lankao_mc_081,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.4168498230707278,0.0,12.351283693187417,0.0
lankao_mc_081,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.3910121284514457,0.0,0.7110989495123017,0.0
lankao_mc_082,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_082,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.1238919219378158,0.0,1.6877223527094571,0.0
lankao_mc_082,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5696036566264084,0.0,14.02481149877364,0.0
lankao_mc_082,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.46003532730460295,0.0,0.7284290422667666,0.0
lankao_mc_083,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_083,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.100057173988509,0.0,1.9728968309067776,0.0
lankao_mc_083,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.7157507370221592,0.0,15.830998268605526,0.0
lankao_mc_083,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.6195861272647162,0.0,2.0035081573788123,0.0
lankao_mc_084,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_084,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.9276807415995288,0.0,1.2541623365795953,0.0
lankao_mc_084,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.637269059109335,0.0,14.689828603062807,0.0
lankao_mc_084,lankao_typical_event_001,灾后恢复,4,12,25.0,8.333333333333332,0.5123577552283498,0.4515006440857044,0.8136562761045626,0.4515006440857044
lankao_mc_085,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_085,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.1982276082416474,0.0,2.056345311004625,0.0
lankao_mc_085,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.723102543331664,0.0,15.94669692552718,0.0
lankao_mc_085,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.6664492922207917,0.0,2.1947860490431363,0.0
lankao_mc_086,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_086,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.2323639190802063,0.0,2.073838412008543,0.0
lankao_mc_086,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.8155377316509864,0.0,17.38940655983752,0.0
lankao_mc_086,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.7579406855589506,0.0,2.1640133418025194,0.0
lankao_mc_087,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_087,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,0.9511744464942145,0.0,1.5129032426659494,0.0
lankao_mc_087,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.765277102546563,0.0,15.34612957322755,0.0
lankao_mc_087,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.7116207172719492,0.0,2.7210829920135677,0.0
lankao_mc_088,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_088,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.9299662987777624,0.0,1.3326294672413461,0.0
lankao_mc_088,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.6785188509985975,0.0,15.009689252723211,0.0
lankao_mc_088,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.524501524188773,0.0,0.8729041963687406,0.0
lankao_mc_089,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_089,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.0720209693275227,0.0,1.6697535607628025,0.0
lankao_mc_089,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.6767213384645716,0.0,14.783155000396498,0.0
lankao_mc_089,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.5195132498062726,0.0,1.1872610878615393,0.0
lankao_mc_090,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_090,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.8697517658011864,0.0,1.177371678620049,0.0
lankao_mc_090,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.4243550360433104,0.0,11.64847980240202,0.0
lankao_mc_090,lankao_typical_event_001,灾后恢复,4,12,16.666666666666664,8.333333333333332,0.3322637465701767,0.005443537071738263,0.42581176021691564,0.005443537071738263
lankao_mc_091,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_091,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.10781605696844,0.0,1.6096938047602993,0.0
lankao_mc_091,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5816877430510339,0.0,14.310261328851968,0.0
lankao_mc_091,lankao_typical_event_001,灾后恢复,4,12,50.0,0.0,0.5377764087091426,0.0,1.1544331050708374,0.0
lankao_mc_092,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_092,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,1.1110376639643504,0.0,1.6145864438276556,0.0
lankao_mc_092,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.4613958864061911,0.0,12.897422523256562,0.0
lankao_mc_092,lankao_typical_event_001,灾后恢复,4,12,33.33333333333333,0.0,0.4021258329009496,0.0,0.6655380871081515,0.0
lankao_mc_093,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_093,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.6033435729547376,0.0,0.6712783132739674,0.0
lankao_mc_093,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.222776025912715,0.0,10.395536951471286,0.0
lankao_mc_093,lankao_typical_event_001,灾后恢复,4,12,16.666666666666664,8.333333333333332,0.35456397077663065,0.08223268779210884,0.4446227069646428,0.08223268779210884
lankao_mc_094,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_094,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.7150568394288034,0.0,0.7954552656479734,0.0
lankao_mc_094,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.199715384371137,0.0,10.805366147765087,0.0
lankao_mc_094,lankao_typical_event_001,灾后恢复,4,12,25.0,0.0,0.48618588299213306,0.0,0.7705852589640293,0.0
lankao_mc_095,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_095,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.7390222482567083,0.0,0.9581386647775535,0.0
lankao_mc_095,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.5269933612465505,0.0,13.75974146240348,0.0
lankao_mc_095,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.5162691064051441,0.0,1.4992810988906824,0.0
lankao_mc_096,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_096,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.2271371829983904,0.0,2.0609873219387933,0.0
lankao_mc_096,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.706729689839735,0.0,15.612210923630299,0.0
lankao_mc_096,lankao_typical_event_001,灾后恢复,4,12,58.333333333333336,0.0,0.4951251454398408,0.0,1.3741957066017607,0.0
lankao_mc_097,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_097,lankao_typical_event_001,灾害冲击,2,6,33.33333333333333,0.0,0.912334622235726,0.0,1.2246891327658762,0.0
lankao_mc_097,lankao_typical_event_001,灾害持续,3,12,100.0,0.0,1.4933194275377282,0.0,12.544760422882232,0.0
lankao_mc_097,lankao_typical_event_001,灾后恢复,4,12,33.33333333333333,0.0,0.5796419856701489,0.0,1.0171314260323048,0.0
lankao_mc_098,lankao_typical_event_001,灾前准备,1,6,0.0,0.0,0.0,0.0,0.0,0.0
lankao_mc_098,lankao_typical_event_001,灾害冲击,2,6,50.0,0.0,1.0946032148673663,0.0,1.7306903227837516,0.0
